"","d","Power","Divergence","BIC"
"1",0.2,0.867,0.528434766440609,176.293799638007
"2",0.3,0.885,0.525757684373597,201.291109451127
"3",0.4,0.893,0.523293070314829,224.162831673404
"4",0.5,0.879,0.524129494592169,241.098614371318
"5",0.6,0.912,0.513513965903061,304.238814791092
"6",0.7,0.89,0.515002965280754,322.002895636356
"7",0.8,0.89,0.513770119584662,356.744362090082
"8",0.9,0.882,0.514000046472898,386.727676607447
"9",1,0.892,0.511420301131049,432.687372349914
"10",1.1,0.859,0.522056371309636,434.972854134607
"11",1.2,0.84,0.532532634287682,437.30719692238
"12",1.3,0.845,0.537572084033801,457.425587643682
"13",1.4,0.804,0.563480475820596,412.221463554694
"14",1.5,0.784,0.583991808259482,365.508807672268
"15",1.6,0.785,0.603877533897538,332.127368217774
"16",1.7,0.784,0.619922433764556,305.115560038379
"17",1.8,0.783,0.626520241670093,290.526980603492
"18",1.9,0.784,0.639646199916461,263.921073425272
"19",2,0.754,0.65241611145217,226.933295503223
"20",2.1,0.773,0.65762308907097,222.146276040689
"21",2.2,0.761,0.664210060161003,213.549791316022
"22",2.3,0.751,0.675010758902594,196.238552058558
"23",2.4,0.779,0.680831266478317,192.173952531627
"24",2.5,0.775,0.690517831066634,179.893895020946
"25",2.6,0.773,0.697178066901586,182.024439707716
"26",2.7,0.771,0.708498941369282,165.533364984835
"27",2.8,0.779,0.713141179865985,167.947672984076
"28",2.9,0.801,0.717901214016517,176.801847593492
"29",3,0.806,0.724347430453888,177.383129473532
"30",3.1,0.807,0.731942367349307,173.58716208343
"31",3.2,0.799,0.738168653461951,169.79800656875
"32",3.3,0.808,0.740358179355519,182.314459466372
"33",3.4,0.828,0.745920218566937,183.50080344142
"34",3.5,0.847,0.7502240405203,188.940725279433
"35",3.6,0.826,0.755517926580201,182.100643305214
"36",3.7,0.867,0.756584432987686,198.178261936531
"37",3.8,0.869,0.761238732455134,197.284385028793
"38",3.9,0.889,0.762174412643139,213.845496422993
"39",4,0.9,0.764270936173433,218.857337412151
"40",4.1,0.923,0.764712907866593,234.737803461358
"41",4.2,0.9,0.769024914682364,222.464738421438
"42",4.3,0.915,0.772806119663685,224.426330227961
"43",4.4,0.902,0.775422231821628,227.295909472794
"44",4.5,0.905,0.778397755625372,228.828022992994
"45",4.6,0.92,0.77841059451013,235.623292928056
"46",4.7,0.911,0.780204740677399,242.27316093221
"47",4.8,0.906,0.784636694138428,234.266732485509
"48",4.9,0.905,0.785421640086118,239.899146709227
"49",5,0.905,0.787874095502043,239.159743269825
